,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,model_path,preprocessing_path,categorical
20,0.7252439657847086,0.28967128344817683,0.0017188390096028645,6.781722315375542e-05,tanh,0.05,"(100,)",constant,sgd,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",-1.8515164165397309,-1.7922450789323028,-1.9061206659507715,-1.8499607204742683,0.046502526615129776,44,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
21,0.7628605365753174,0.20649228204588885,0.001740852991739909,4.671111556189476e-05,tanh,0.05,"(100,)",constant,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",-1.8441716499963112,-1.9164583004032412,-1.902406903794445,-1.887678951397999,0.03129456175447964,47,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
22,1.1694843769073486,0.23834660544413266,0.0024134318033854165,0.0008250084264164763,tanh,0.05,"(100,)",adaptive,sgd,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-1.8244789259778724,-1.7883795818149204,-1.9061206659507715,-1.839659724581188,0.04925162067077734,42,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
23,0.7177745501200358,0.22150298664206144,0.0018948713938395183,0.0002192463629584008,tanh,0.05,"(100,)",adaptive,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",-1.8441716499963112,-1.9164583004032412,-1.902406903794445,-1.887678951397999,0.03129456175447964,47,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
24,0.4596555233001709,0.06210063262579239,0.000888824462890625,1.2808204668582241e-05,relu,0.0001,"(50, 50, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-1.34678698007779,-1.3184384697363327,-1.3041774159246073,-1.3231342885795767,0.017709352995662543,21,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
25,0.8487759431203207,0.07467981588813966,0.0012145837148030598,0.0004917368150296304,relu,0.0001,"(50, 50, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-1.3806966776599368,-1.3185765947260162,-1.303115585690573,-1.3341296193588417,0.03352739068494778,24,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
26,0.8018868764241537,0.09727497044797406,0.0008908907572428385,1.061669363151981e-05,relu,0.0001,"(50, 50, 50)",adaptive,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",-1.34678698007779,-1.3089498453491715,-1.3041774159246073,-1.3199714137838563,0.01906130403726145,17,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
27,0.7966700394948324,0.0876422683238124,0.0008883476257324219,5.337311109915841e-05,relu,0.0001,"(50, 50, 50)",adaptive,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",-1.3806966776599368,-1.3185765947260162,-1.303115585690573,-1.3341296193588417,0.03352739068494778,24,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
28,0.7719294230143229,0.10893324816006424,0.0016344388326009114,0.0005713362639758235,relu,0.0001,"(50, 100, 50)",constant,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",-1.3272331107952096,-1.3176838943744535,-1.277482115338176,-1.307466373502613,0.021557499651185877,8,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
29,1.0581115086873372,0.27377099376921793,0.0010205904642740886,6.542735608159643e-05,relu,0.0001,"(50, 100, 50)",constant,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'adam'}",-1.3217425072387905,-1.3161411213741028,-1.2848150839987653,-1.3075662375372195,0.016249207599121445,9,model_dump/mlp_knnImputed_grid_mae_True_-1.29337_07-02-2022_22:27:37.pkl,scale_dump/ColumnTransformer_knnImputed_07-02-2022_22:27:37.pkl,False
